           All       Root
| 论文  |  79.0   |  43.0   |
| 复现  |  78.11  |  44.71  |


emb_LR = 1e-3
LR = 1e-2  
L2_reg = 0.001
batch_size = 128
emb_dim = 300
dropout = 0.1


 | epoch | Test Acc | Root Acc | Epoch Time |
 |   0   |  0.7159  |  0.3552  |   3.7673   |
 |   1   |  0.7295  |  0.3792  |   5.0986   |
 |   2   |  0.7346  |  0.3878  |   5.0214   |
 |   3   |  0.7400  |  0.4068  |   5.0670   |
 |   4   |  0.7446  |  0.4122  |   5.0471   |
 |   5   |  0.7460  |  0.4113  |   5.0088   |
 |   6   |  0.7497  |  0.4122  |   5.0567   |
 |   7   |  0.7503  |  0.4005  |   5.0494   |
 |   8   |  0.7538  |  0.4281  |   5.0876   |
 |   9   |  0.7555  |  0.4244  |   5.0416   |
 |  10   |  0.7557  |  0.4176  |   5.0221   |
 |  11   |  0.7571  |  0.4258  |   5.1302   |
 |  12   |  0.7573  |  0.4231  |   5.0370   |
 |  13   |  0.7592  |  0.4240  |   5.0151   |
 |  14   |  0.7611  |  0.4267  |   5.1043   |
 |  15   |  0.7635  |  0.4389  |   5.1190   |
 |  16   |  0.7605  |  0.4113  |   5.0406   |
 |  17   |  0.7645  |  0.4348  |   4.9739   |
 |  18   |  0.7643  |  0.4231  |   5.0794   |
 |  19   |  0.7659  |  0.4471  |   5.0503   |
 |  20   |  0.7685  |  0.4357  |   5.0225   |
 |  21   |  0.7697  |  0.4258  |   4.9944   |
 |  22   |  0.7695  |  0.4285  |   4.9781   |
 |  23   |  0.7706  |  0.4190  |   4.9758   |
 |  24   |  0.7710  |  0.4321  |   5.0020   |
 |  25   |  0.7720  |  0.4271  |   5.2257   |
 |  26   |  0.7715  |  0.4140  |   5.0124   |
 |  27   |  0.7725  |  0.4226  |   5.0235   |
 |  28   |  0.7728  |  0.4312  |   4.9966   |
 |  29   |  0.7745  |  0.4190  |   4.9951   |
 |  30   |  0.7754  |  0.4303  |   4.9905   |
 |  31   |  0.7767  |  0.4253  |   5.0150   |
 |  32   |  0.7763  |  0.4081  |   4.9956   |
 |  33   |  0.7776  |  0.4244  |   5.0465   |
 |  34   |  0.7779  |  0.4253  |   5.0361   |
 |  35   |  0.7774  |  0.4281  |   4.9694   |
 |  36   |  0.7785  |  0.4258  |   4.9699   |
 |  37   |  0.7774  |  0.4262  |   5.0556   |
 |  38   |  0.7787  |  0.4217  |   5.3689   |
 |  39   |  0.7783  |  0.4285  |   5.4207   |
 |  40   |  0.7787  |  0.4145  |   5.3836   |
 |  41   |  0.7799  |  0.4262  |   5.3777   |
 |  42   |  0.7795  |  0.4109  |   5.4246   |
 |  43   |  0.7811  |  0.4208  |   5.3423   |
 |  44   |  0.7793  |  0.4267  |   5.3773   |
 |  45   |  0.7800  |  0.4154  |   5.3299   |
 |  46   |  0.7809  |  0.4262  |   5.4203   |
 |  47   |  0.7804  |  0.4181  |   5.3699   |
 |  48   |  0.7803  |  0.4208  |   5.4041   |
 |  49   |  0.7802  |  0.4167  |   5.3379   |
BestAll_epoch_test: 43   BestAll_acc_test: 0.7811
BestRoot_epoch_test: 19   BestRoot_acc_test: 0.4471
Total time: 256.10415530204773
