           All       Root
| 论文  |  79.0   |  43.0   |
| 复现  |  75.71  |  47.96  |

emb_LR = 1e-3
LR = 1e-2  
L2_reg = 0.001
batch_size = 256
emb_dim = 300
dropout = 0.5
(embedding后也加上dropout)


 | epoch | Test Acc | Root Acc | Epoch Time | 
 |   0   |  0.7135  |  0.3769  |   5.0857   | 
 |   1   |  0.7252  |  0.4023  |   5.5722   | 
 |   2   |  0.7274  |  0.4032  |   5.5553   | 
 |   3   |  0.7268  |  0.3837  |   5.5942   | 
 |   4   |  0.7320  |  0.4389  |   5.4860   | 
 |   5   |  0.7333  |  0.4163  |   5.5586   | 
 |   6   |  0.7362  |  0.4367  |   5.5339   | 
 |   7   |  0.7355  |  0.4258  |   5.5283   | 
 |   8   |  0.7367  |  0.4140  |   5.4857   | 
 |   9   |  0.7371  |  0.4244  |   5.5235   | 
 |  10   |  0.7383  |  0.4231  |   5.5271   | 
 |  11   |  0.7387  |  0.4195  |   5.6076   | 
 |  12   |  0.7409  |  0.4462  |   5.4574   | 
 |  13   |  0.7408  |  0.4371  |   6.1837   | 
 |  14   |  0.7427  |  0.4412  |   5.4522   | 
 |  15   |  0.7440  |  0.4552  |   5.4827   | 
 |  16   |  0.7423  |  0.4416  |   5.4590   | 
 |  17   |  0.7425  |  0.4389  |   5.5082   | 
 |  18   |  0.7449  |  0.4498  |   5.5611   | 
 |  19   |  0.7450  |  0.4611  |   5.9990   | 
 |  20   |  0.7454  |  0.4525  |   6.1273   | 
 |  21   |  0.7456  |  0.4439  |   5.5813   | 
 |  22   |  0.7465  |  0.4670  |   5.4378   | 
 |  23   |  0.7470  |  0.4629  |   5.5019   | 
 |  24   |  0.7462  |  0.4466  |   5.5660   | 
 |  25   |  0.7476  |  0.4538  |   5.7549   | 
 |  26   |  0.7472  |  0.4471  |   5.5845   | 
 |  27   |  0.7482  |  0.4697  |   5.5695   | 
 |  28   |  0.7475  |  0.4615  |   5.4865   | 
 |  29   |  0.7477  |  0.4416  |   5.4782   | 
 |  30   |  0.7489  |  0.4656  |   5.5456   | 
 |  31   |  0.7502  |  0.4796  |   5.5128   | 
 |  32   |  0.7496  |  0.4701  |   5.5123   | 
 |  33   |  0.7509  |  0.4692  |   5.5547   | 
 |  34   |  0.7505  |  0.4624  |   5.5646   | 
 |  35   |  0.7517  |  0.4710  |   5.8722   | 
 |  36   |  0.7514  |  0.4593  |   5.5326   | 
 |  37   |  0.7509  |  0.4629  |   5.5859   | 
 |  38   |  0.7519  |  0.4638  |   5.4899   | 
 |  39   |  0.7508  |  0.4548  |   5.5971   | 
 |  40   |  0.7495  |  0.4380  |   5.4957   | 
 |  41   |  0.7521  |  0.4629  |   5.5795   | 
 |  42   |  0.7533  |  0.4787  |   5.6204   | 
 |  43   |  0.7537  |  0.4674  |   5.4966   | 
 |  44   |  0.7544  |  0.4706  |   5.4203   | 
 |  45   |  0.7546  |  0.4633  |   5.5708   | 
 |  46   |  0.7564  |  0.4733  |   5.5486   | 
 |  47   |  0.7564  |  0.4724  |   5.5176   | 
 |  48   |  0.7571  |  0.4665  |   5.5840   | 
 |  49   |  0.7568  |  0.4661  |   5.4541   | 
BestAll_epoch_test: 48   BestAll_acc_test: 0.7571
BestRoot_epoch_test: 31   BestRoot_acc_test: 0.4796
Total time: 279.7169361114502
